YYYY(기준연도)	IND_CLASS_ORDER(산업분류_차수)	ZONE_C(행정구역분류코드)	D_SEX(사업체_대표자성별)	D_AGE(사업체_대표자생년)	JOSIC_C(조직형태코드)	KUBUN_C(사업체구분코드)	CHANG_Y(설립연도)	CHANG_M(설립월)	SN1_B(산업세세분류)	EMP_JA_M(자영업자_남자)	EMP_JA_F(자영업자_여자)	EMP_JA(자영업자_계)	EMP_MU_M(무급가족종사자_남자)	EMP_MU_F(무급가족종사자_여자)	EMP_MU(무급가족종사자_계)	EMP_SA_M(상용종사자_남자)	EMP_SA_F(상용종사자_여자)	EMP_SA(상용종사자_계)	EMP_IM_M(임시일용종사자_남자)	EMP_IM_F(임시일용종사자_여자)	EMP_IM(임시일용종사자_계)	EMP_MO_M(무급종사자_남자)	EMP_MO_F(무급종사자_여자)	EMP_MO(무급종사자_계)	EMP_TO_M(T종사자_남자)	EMP_TO_F(T종사자_여자)	EMP_TO(T종사자_합계)
2013	9	1110059	2	1946	1	1	1996	11	47129	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	1	1	2
2013	9	1110059	2	1969	1	1	2000	1	86202	0	1	1	0	0	0	0	2	2	0	0	0	0	0	0	0	3	3
2013	9	1110059	1	1974	1	1	2008	5	86201	1	0	1	0	0	0	2	4	6	0	0	0	0	0	0	3	4	7
2013	9	1110059	2	1964	1	1	2002	4	86201	0	1	1	0	0	0	0	3	3	0	0	0	0	0	0	0	4	4
2013	9	1110059	1	1963	2	2	2006	4	27212	0	0	0	0	0	0	2	1	3	0	0	0	0	0	0	2	1	3
2013	9	1110059	1	1975	1	1	2007	11	47811	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	1	2
2013	9	1110059	1	1968	1	1	2002	10	71202	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	1	2
2013	9	1110059	2	1971	1	1	2011	11	96112	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	2	2
2013	9	1110059	2	1955	1	1	2002	1	96112	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	2	2
2013	9	1110059	1	1958	1	1	1997	5	47212	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	2	0	2
2013	9	1110059	2	1963	1	1	2010	8	56191	0	1	1	0	0	0	0	0	0	0	4	4	0	0	0	0	5	5
2013	9	1110059	2	1953	4	1	1993	5	87210	0	0	0	0	0	0	0	14	14	0	0	0	0	0	0	0	14	14
2013	9	1110059	1	1950	1	1	2010	1	47129	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	1	2
2013	9	1110059	1	1954	1	1	1981	9	95212	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	1	2
2013	9	1110059	2	1953	5	1	2002	3	85212	0	0	0	0	0	0	23	38	61	5	6	11	0	0	0	28	44	72
2013	9	1110059	1	1953	1	1	2003	1	68221	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	2	0	2
2013	9	1110059	2	1959	1	1	2009	12	47416	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
2013	9	1110059	2	1972	1	1	2007	3	56194	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	2	2
2013	9	1110059	1	1954	4	1	1990	12	94912	0	0	0	0	0	0	1	1	2	0	0	0	1	0	1	2	1	3
2013	9	1110059	1	1981	1	1	2011	6	91222	1	0	1	1	3	4	0	0	0	0	0	0	0	0	0	2	3	5
2013	9	1110059	1	1946	1	1	1993	4	68212	1	0	1	0	0	0	3	1	4	0	0	0	0	0	0	4	1	5
2013	9	1110059	2	1971	1	1	2008	3	68221	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	2	2
2013	9	1110059	1	1959	1	1	2005	4	47993	1	0	1	0	0	0	0	4	4	0	0	0	0	101	101	1	105	106
2013	9	1110059	1	1958	4	1	2000	11	94912	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	1	1	2
2013	9	1110059	1	1963	1	1	2013	8	91222	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
2013	9	1110059	2	1972	1	1	2003	1	49311	0	1	1	0	0	0	1	0	1	2	1	3	0	0	0	3	2	5
2013	9	1110059	2	1970	1	1	2003	2	85620	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
2013	9	1110059	1	1956	1	1	2012	9	47212	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	1	2
2013	9	1110059	2	1957	1	1	2013	12	96992	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
2013	9	1110059	2	1970	1	1	2012	6	85502	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	2	2
2013	9	1110059	2	1964	1	1	2012	9	96113	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
2013	9	1110059	2	1964	1	1	2012	3	56219	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	2	2
2013	9	1110059	1	1961	1	1	2012	4	47812	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	1	2
2013	9	1110059	2	1957	1	1	2012	7	47420	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	2	2
2013	9	1110059	1	1962	1	1	2012	7	47129	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	1	2
2013	9	1110059	1	1982	1	1	2012	6	68221	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	1	2
2013	9	1110059	1	1963	2	3	2013	12	56220	0	0	0	0	0	0	1	9	10	0	0	0	0	0	0	1	9	10
2013	9	1110059	1	1973	2	1	2012	4	42412	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	1	1	2
